UID,p0,p1,recipe,p0_valid_actions,p1_valid_actions,p0_total_actions,p1_total_actions,free_ride_index,alternation_rate
2025-08-19_08-02-53,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_08-04-16,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,1,3,7,6,0.500000,0.333333
2025-08-19_08-45-15,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,3,2,3,1.000000,0.000000
2025-08-19_08-55-21,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,1,4,6,7,0.600000,0.250000
2025-08-19_09-32-11,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,1,7,6,1.000000,0.000000
2025-08-19_09-14-43,Qwen3-14B,Qwen3-32B,boiled_corn_slices,4,1,14,4,0.600000,0.250000
2025-08-19_09-34-07,Qwen3-14B,Qwen3-32B,boiled_corn_slices,0,3,4,13,1.000000,0.000000
2025-08-19_09-43-28,Qwen3-14B,Qwen3-32B,boiled_corn_slices,1,3,12,6,0.500000,0.333333
2025-08-19_10-22-28,Qwen3-14B,Qwen3-32B,boiled_corn_slices,1,3,5,4,0.500000,0.333333
2025-08-19_10-52-56,Qwen3-14B,Qwen3-32B,boiled_corn_slices,4,0,5,1,1.000000,0.000000
2025-08-19_11-22-06,Qwen3-14B,Qwen3-32B,boiled_corn_slices,4,0,10,3,1.000000,0.000000
2025-08-19_11-34-02,Qwen3-14B,Qwen3-32B,boiled_corn_slices,4,1,10,3,0.600000,0.250000
2025-08-19_11-48-15,Qwen3-14B,Qwen3-32B,boiled_corn_slices,4,1,8,3,0.600000,0.250000
2025-08-19_11-54-22,Qwen3-14B,Qwen3-32B,boiled_corn_slices,4,1,15,7,0.600000,0.250000
2025-08-19_12-19-56,Qwen3-14B,Qwen3-32B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_04-52-18,Qwen3-14B,Qwen3-4B,boiled_corn_slices,2,3,6,7,0.200000,0.500000
2025-08-19_04-56-44,Qwen3-14B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_04-57-31,Qwen3-14B,Qwen3-4B,boiled_corn_slices,0,2,2,4,1.000000,0.000000
2025-08-19_05-02-03,Qwen3-14B,Qwen3-4B,boiled_corn_slices,3,2,15,11,0.200000,0.500000
2025-08-19_05-19-55,Qwen3-14B,Qwen3-4B,boiled_corn_slices,0,2,0,3,1.000000,0.000000
2025-08-19_05-22-51,Qwen3-14B,Qwen3-4B,boiled_corn_slices,0,2,1,4,1.000000,0.000000
2025-08-19_05-41-12,Qwen3-14B,Qwen3-4B,boiled_corn_slices,1,4,3,7,0.600000,0.250000
2025-08-19_05-48-09,Qwen3-14B,Qwen3-4B,boiled_corn_slices,1,2,1,6,0.333333,0.500000
2025-08-19_05-57-01,Qwen3-14B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_05-58-14,Qwen3-14B,Qwen3-4B,boiled_corn_slices,0,4,4,7,1.000000,0.000000
2025-08-19_06-16-13,Qwen3-14B,Qwen3-8B,boiled_corn_slices,0,4,3,13,1.000000,0.000000
2025-08-19_06-23-19,Qwen3-14B,Qwen3-8B,boiled_corn_slices,1,4,13,49,0.600000,0.250000
2025-08-19_06-39-34,Qwen3-14B,Qwen3-8B,boiled_corn_slices,3,3,16,15,0.000000,0.750000
2025-08-19_06-54-18,Qwen3-14B,Qwen3-8B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_06-55-53,Qwen3-14B,Qwen3-8B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_06-57-29,Qwen3-14B,Qwen3-8B,boiled_corn_slices,1,4,10,33,0.600000,0.500000
2025-08-19_07-20-18,Qwen3-14B,Qwen3-8B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_07-21-16,Qwen3-14B,Qwen3-8B,boiled_corn_slices,3,1,8,5,0.500000,0.333333
2025-08-19_07-56-35,Qwen3-14B,Qwen3-8B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_07-58-08,Qwen3-14B,Qwen3-8B,boiled_corn_slices,0,1,1,7,1.000000,0.000000
2025-08-19_09-16-07,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,1,3,7,7,0.500000,0.333333
2025-08-19_09-36-33,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,4,1,4,1.000000,0.000000
2025-08-19_09-39-31,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,1,0,3,1,1.000000,0.000000
2025-08-19_10-32-55,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,4,2,7,1.000000,0.000000
2025-08-19_10-41-08,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,4,2,7,1.000000,0.000000
2025-08-19_10-47-41,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,1,1,5,1.000000,0.000000
2025-08-19_11-31-33,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,4,3,25,1.000000,0.000000
2025-08-19_11-57-28,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,4,2,7,1.000000,0.000000
2025-08-19_12-04-00,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_12-49-28,Qwen3-1.7B,Qwen3-14B,boiled_corn_slices,0,5,5,9,1.000000,0.000000
2025-08-19_08-25-23,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,1,3,4,1.000000,0.000000
2025-08-19_08-47-10,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_08-47-46,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,1,1,3,1.000000,0.000000
2025-08-19_09-16-44,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,3,1,3,1.000000,0.000000
2025-08-19_09-23-22,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,1,3,3,1.000000,0.000000
2025-08-19_09-32-59,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_10-00-20,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,1,2,3,1.000000,0.000000
2025-08-19_10-25-36,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_10-26-45,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,2,1,2,1.000000,0.000000
2025-08-19_10-39-29,Qwen3-1.7B,Qwen3-1.7B,boiled_corn_slices,0,2,1,4,1.000000,0.000000
2025-08-19_04-52-18,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,4,2,21,1.000000,0.000000
2025-08-19_05-09-24,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_05-11-41,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,4,5,7,1.000000,0.000000
2025-08-19_05-27-38,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_06-01-18,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,4,2,9,1.000000,0.000000
2025-08-19_06-10-32,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,4,2,11,1.000000,0.000000
2025-08-19_06-19-15,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,1,3,23,1.000000,0.000000
2025-08-19_07-02-26,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,1,2,9,16,0.333333,1.000000
2025-08-19_07-38-56,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_08-28-44,Qwen3-1.7B,Qwen3-32B,boiled_corn_slices,0,4,4,25,1.000000,0.000000
2025-08-19_07-02-47,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,4,2,11,1.000000,0.000000
2025-08-19_07-10-07,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,5,4,11,1.000000,0.000000
2025-08-19_07-30-30,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,1,3,8,1.000000,0.000000
2025-08-19_07-49-13,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,4,5,11,1.000000,0.000000
2025-08-19_07-53-54,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,4,5,7,1.000000,0.000000
2025-08-19_07-56-49,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,1,3,8,1.000000,0.000000
2025-08-19_08-23-55,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,4,2,7,1.000000,0.000000
2025-08-19_08-28-07,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,4,5,9,1.000000,0.000000
2025-08-19_08-31-44,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,4,2,11,1.000000,0.000000
2025-08-19_08-37-48,Qwen3-1.7B,Qwen3-4B,boiled_corn_slices,0,2,5,6,1.000000,0.000000
2025-08-19_08-56-39,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,2,9,1.000000,0.000000
2025-08-19_09-08-14,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,2,11,1.000000,0.000000
2025-08-19_09-15-50,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,2,11,1.000000,0.000000
2025-08-19_09-24-32,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,2,9,1.000000,0.000000
2025-08-19_09-30-56,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,2,2,7,20,0.000000,0.666667
2025-08-19_09-44-34,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,2,27,1.000000,0.000000
2025-08-19_09-57-17,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,5,25,1.000000,0.000000
2025-08-19_10-05-11,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,1,2,3,23,0.333333,0.500000
2025-08-19_10-38-23,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,4,5,7,1.000000,0.000000
2025-08-19_10-42-16,Qwen3-1.7B,Qwen3-8B,boiled_corn_slices,0,1,3,11,1.000000,0.000000
2025-08-19_04-52-18,Qwen3-32B,Qwen3-14B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_04-53-50,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,4,6,9,0.600000,0.250000
2025-08-19_05-02-16,Qwen3-32B,Qwen3-14B,boiled_corn_slices,0,5,4,13,1.000000,0.000000
2025-08-19_05-24-28,Qwen3-32B,Qwen3-14B,boiled_corn_slices,0,4,2,7,1.000000,0.000000
2025-08-19_05-32-58,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_05-47-24,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_05-50-51,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,4,7,10,0.600000,0.250000
2025-08-19_06-24-20,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,4,3,9,0.600000,0.250000
2025-08-19_06-31-49,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,0,7,0,1.000000,0.000000
2025-08-19_06-38-53,Qwen3-32B,Qwen3-14B,boiled_corn_slices,1,4,6,13,0.600000,0.250000
2025-08-19_11-28-41,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_12-18-03,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_13-05-38,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,2,6,2,1.000000,0.000000
2025-08-19_13-21-54,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,6,1,1.000000,0.000000
2025-08-19_14-05-09,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_14-45-35,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,0,3,1.000000,0.000000
2025-08-19_15-30-13,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,1,1,1.000000,0.000000
2025-08-19_16-08-43,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,7,12,1.000000,0.000000
2025-08-19_16-39-04,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_16-40-36,Qwen3-32B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_07-17-53,Qwen3-32B,Qwen3-32B,boiled_corn_slices,1,3,5,6,0.500000,0.333333
2025-08-19_07-51-56,Qwen3-32B,Qwen3-32B,boiled_corn_slices,1,0,9,0,1.000000,0.000000
2025-08-19_08-07-05,Qwen3-32B,Qwen3-32B,boiled_corn_slices,1,4,7,9,0.600000,0.250000
2025-08-19_08-17-37,Qwen3-32B,Qwen3-32B,boiled_corn_slices,1,4,6,9,0.600000,0.250000
2025-08-19_08-40-18,Qwen3-32B,Qwen3-32B,boiled_corn_slices,1,4,5,9,0.600000,0.250000
2025-08-19_08-48-55,Qwen3-32B,Qwen3-32B,boiled_corn_slices,3,2,14,10,0.200000,0.500000
2025-08-19_09-12-51,Qwen3-32B,Qwen3-32B,boiled_corn_slices,4,1,12,3,0.600000,0.250000
2025-08-19_09-45-50,Qwen3-32B,Qwen3-32B,boiled_corn_slices,4,1,12,8,0.600000,0.250000
2025-08-19_10-09-39,Qwen3-32B,Qwen3-32B,boiled_corn_slices,0,4,1,9,1.000000,0.000000
2025-08-19_10-22-49,Qwen3-32B,Qwen3-32B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_10-37-32,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,2,2,4,1.000000,0.000000
2025-08-19_10-43-40,Qwen3-32B,Qwen3-4B,boiled_corn_slices,3,2,8,14,0.200000,0.500000
2025-08-19_10-56-32,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,3,6,5,1.000000,0.000000
2025-08-19_11-20-55,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_11-21-31,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,2,1,2,1.000000,0.000000
2025-08-19_11-27-13,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_11-28-07,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,4,4,10,1.000000,0.000000
2025-08-19_11-34-54,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,2,1,6,1.000000,0.000000
2025-08-19_11-47-48,Qwen3-32B,Qwen3-4B,boiled_corn_slices,2,2,2,7,0.000000,0.333333
2025-08-19_12-01-58,Qwen3-32B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_04-52-18,Qwen3-32B,Qwen3-8B,boiled_corn_slices,7,1,20,14,0.750000,0.142857
2025-08-19_05-20-18,Qwen3-32B,Qwen3-8B,boiled_corn_slices,1,0,9,0,1.000000,0.000000
2025-08-19_05-24-55,Qwen3-32B,Qwen3-8B,boiled_corn_slices,2,3,9,19,0.200000,0.500000
2025-08-19_05-43-28,Qwen3-32B,Qwen3-8B,boiled_corn_slices,3,7,4,14,0.400000,0.333333
2025-08-19_05-54-29,Qwen3-32B,Qwen3-8B,boiled_corn_slices,3,2,17,21,0.200000,0.500000
2025-08-19_06-18-43,Qwen3-32B,Qwen3-8B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_06-20-41,Qwen3-32B,Qwen3-8B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_06-23-21,Qwen3-32B,Qwen3-8B,boiled_corn_slices,0,2,2,8,1.000000,0.000000
2025-08-19_06-29-35,Qwen3-32B,Qwen3-8B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_06-31-33,Qwen3-32B,Qwen3-8B,boiled_corn_slices,1,4,3,15,0.600000,0.250000
2025-08-19_08-33-20,Qwen3-4B,Qwen3-14B,boiled_corn_slices,2,2,11,9,0.000000,0.666667
2025-08-19_08-40-57,Qwen3-4B,Qwen3-14B,boiled_corn_slices,1,4,8,9,0.600000,0.250000
2025-08-19_09-04-05,Qwen3-4B,Qwen3-14B,boiled_corn_slices,2,3,11,14,0.200000,0.500000
2025-08-19_09-27-20,Qwen3-4B,Qwen3-14B,boiled_corn_slices,2,3,18,8,0.200000,0.500000
2025-08-19_09-41-10,Qwen3-4B,Qwen3-14B,boiled_corn_slices,2,1,9,7,0.333333,0.500000
2025-08-19_09-48-40,Qwen3-4B,Qwen3-14B,boiled_corn_slices,0,4,6,9,1.000000,0.000000
2025-08-19_10-09-06,Qwen3-4B,Qwen3-14B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_10-11-39,Qwen3-4B,Qwen3-14B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_10-15-48,Qwen3-4B,Qwen3-14B,boiled_corn_slices,1,4,6,7,0.600000,0.250000
2025-08-19_10-18-56,Qwen3-4B,Qwen3-14B,boiled_corn_slices,1,2,15,3,0.333333,0.500000
2025-08-19_07-44-24,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,3,1,6,6,0.500000,0.333333
2025-08-19_07-59-18,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,0,1,3,4,1.000000,0.000000
2025-08-19_08-26-13,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,2,3,19,10,0.200000,0.250000
2025-08-19_08-48-24,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_08-49-27,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_09-21-27,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,0,2,10,5,1.000000,0.000000
2025-08-19_09-43-38,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_10-11-44,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,0,2,1,2,1.000000,0.000000
2025-08-19_10-16-27,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,4,1,22,12,0.600000,0.250000
2025-08-19_10-25-11,Qwen3-4B,Qwen3-1.7B,boiled_corn_slices,2,2,15,10,0.000000,0.666667
2025-08-19_04-52-18,Qwen3-4B,Qwen3-32B,boiled_corn_slices,4,1,14,7,0.600000,0.250000
2025-08-19_05-00-41,Qwen3-4B,Qwen3-32B,boiled_corn_slices,1,4,8,19,0.600000,0.250000
2025-08-19_05-10-44,Qwen3-4B,Qwen3-32B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_05-11-32,Qwen3-4B,Qwen3-32B,boiled_corn_slices,3,1,19,5,0.500000,0.333333
2025-08-19_05-44-39,Qwen3-4B,Qwen3-32B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_05-47-23,Qwen3-4B,Qwen3-32B,boiled_corn_slices,1,4,7,9,0.600000,0.250000
2025-08-19_05-52-40,Qwen3-4B,Qwen3-32B,boiled_corn_slices,0,2,2,4,1.000000,0.000000
2025-08-19_05-57-54,Qwen3-4B,Qwen3-32B,boiled_corn_slices,1,4,7,9,0.600000,0.250000
2025-08-19_06-02-14,Qwen3-4B,Qwen3-32B,boiled_corn_slices,4,1,10,7,0.600000,0.250000
2025-08-19_06-18-28,Qwen3-4B,Qwen3-32B,boiled_corn_slices,1,3,7,9,0.500000,0.333333
2025-08-19_05-19-30,Qwen3-4B,Qwen3-4B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_05-20-54,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,5,6,15,1.000000,0.000000
2025-08-19_05-24-30,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,3,2,7,1.000000,0.000000
2025-08-19_05-25-49,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,3,2,5,1.000000,0.000000
2025-08-19_05-28-05,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,3,2,5,1.000000,0.000000
2025-08-19_05-29-33,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,4,1,6,1.000000,0.000000
2025-08-19_05-31-21,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_05-32-09,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,4,6,13,1.000000,0.000000
2025-08-19_05-36-18,Qwen3-4B,Qwen3-4B,boiled_corn_slices,3,2,10,26,0.200000,0.500000
2025-08-19_05-42-58,Qwen3-4B,Qwen3-4B,boiled_corn_slices,0,2,2,8,1.000000,0.000000
2025-08-19_06-26-25,Qwen3-4B,Qwen3-8B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_06-27-17,Qwen3-4B,Qwen3-8B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_06-29-34,Qwen3-4B,Qwen3-8B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_06-30-53,Qwen3-4B,Qwen3-8B,boiled_corn_slices,0,1,1,41,1.000000,0.000000
2025-08-19_06-37-08,Qwen3-4B,Qwen3-8B,boiled_corn_slices,1,1,10,17,0.000000,1.000000
2025-08-19_06-58-02,Qwen3-4B,Qwen3-8B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_06-58-43,Qwen3-4B,Qwen3-8B,boiled_corn_slices,1,4,14,19,0.600000,0.250000
2025-08-19_07-09-29,Qwen3-4B,Qwen3-8B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_07-10-03,Qwen3-4B,Qwen3-8B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_07-10-55,Qwen3-4B,Qwen3-8B,boiled_corn_slices,1,9,4,41,0.800000,0.111111
2025-08-19_11-25-07,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,4,7,10,0.600000,0.250000
2025-08-19_11-38-46,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,4,6,7,0.600000,0.250000
2025-08-19_11-44-29,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,2,18,6,0.333333,0.500000
2025-08-19_12-36-16,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,0,21,0,1.000000,0.000000
2025-08-19_12-51-28,Qwen3-8B,Qwen3-14B,boiled_corn_slices,2,3,19,9,0.200000,0.500000
2025-08-19_13-05-33,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,0,3,0,1.000000,0.000000
2025-08-19_13-10-17,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,0,9,0,1.000000,0.000000
2025-08-19_13-23-15,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,0,35,12,1.000000,0.000000
2025-08-19_13-54-56,Qwen3-8B,Qwen3-14B,boiled_corn_slices,1,0,5,0,1.000000,0.000000
2025-08-19_14-04-04,Qwen3-8B,Qwen3-14B,boiled_corn_slices,2,3,14,11,0.200000,0.500000
2025-08-19_07-24-16,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_07-59-12,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,1,2,14,8,0.333333,0.500000
2025-08-19_08-34-52,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,4,1,16,7,0.600000,0.250000
2025-08-19_09-09-19,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,3,1,21,10,0.500000,0.333333
2025-08-19_09-18-29,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,0,1,9,6,1.000000,0.000000
2025-08-19_09-47-29,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_09-48-24,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,3,1,34,4,0.500000,0.333333
2025-08-19_10-00-10,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,4,1,15,8,0.600000,0.250000
2025-08-19_10-22-45,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,0,1,7,3,1.000000,0.000000
2025-08-19_10-58-57,Qwen3-8B,Qwen3-1.7B,boiled_corn_slices,3,1,10,5,0.500000,0.333333
2025-08-19_13-46-12,Qwen3-8B,Qwen3-32B,boiled_corn_slices,1,0,8,3,1.000000,0.000000
2025-08-19_13-55-33,Qwen3-8B,Qwen3-32B,boiled_corn_slices,1,4,7,9,0.600000,0.250000
2025-08-19_14-01-50,Qwen3-8B,Qwen3-32B,boiled_corn_slices,0,3,2,3,1.000000,0.000000
2025-08-19_14-32-31,Qwen3-8B,Qwen3-32B,boiled_corn_slices,4,1,18,5,0.600000,0.250000
2025-08-19_14-49-42,Qwen3-8B,Qwen3-32B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_14-51-14,Qwen3-8B,Qwen3-32B,boiled_corn_slices,1,4,32,13,0.600000,0.250000
2025-08-19_15-26-02,Qwen3-8B,Qwen3-32B,boiled_corn_slices,4,1,16,3,0.600000,0.250000
2025-08-19_15-45-46,Qwen3-8B,Qwen3-32B,boiled_corn_slices,0,2,0,12,1.000000,0.000000
2025-08-19_16-16-23,Qwen3-8B,Qwen3-32B,boiled_corn_slices,1,3,5,6,0.500000,0.333333
2025-08-19_16-47-56,Qwen3-8B,Qwen3-32B,boiled_corn_slices,2,3,23,14,0.200000,0.750000
2025-08-19_09-54-44,Qwen3-8B,Qwen3-4B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
