recipe,model_combination,fuzzy_hierarchy,no_hierarchy,clear_hierarchy
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-8B,4,0,6
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,9,0,1
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,7,0,3
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,7,0,3
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,5,0,5
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,5,0,5
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,7,0,3
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,6,0,4
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,0,0,10
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,6,0,4
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,2,0,8
boiled_green_bean_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,2,0,8
boiled_green_bean_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,4,0,6
boiled_green_bean_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,0,0,10
boiled_green_bean_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,4,0,6
boiled_green_bean_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,1,0,9
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,7,0,3
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,8,0,2
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,10,0,0
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,9,0,1
boiled_green_bean_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,9,0,1
boiled_green_bean_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,4,0,6
boiled_green_bean_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,4,0,6
boiled_green_bean_slices,Qwen_Qwen3-8B_Qwen_Qwen3-4B,6,0,4
boiled_green_bean_slices,Qwen_Qwen3-8B_Qwen_Qwen3-8B,7,0,3
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,9,0,1
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,5,0,5
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,3,0,7
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,3,0,6
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,6,0,4
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,4,0,6
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,3,0,7
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,3,0,7
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,7,0,3
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,6,0,4
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,3,0,7
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,3,0,7
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,2,0,8
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,3,0,7
boiled_potato_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,3,0,7
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,5,0,5
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,2,0,8
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,7,0,3
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,6,0,4
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,7,0,3
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,8,0,2
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,3,0,7
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-4B,9,0,1
boiled_potato_slices,Qwen_Qwen3-8B_Qwen_Qwen3-8B,4,0,6
