UID,p0,p1,recipe,p0_valid_actions,p1_valid_actions,p0_total_actions,p1_total_actions,free_ride_index,alternation_rate
2025-08-26_18-41-23,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_18-45-12,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,2,8,6,11,0.600000,0.111111
2025-08-26_19-13-05,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,8,3,12,8,0.454545,0.500000
2025-08-26_19-47-22,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_19-49-11,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,4,3,16,11,0.142857,0.500000
2025-08-26_20-12-15,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,8,3,14,20,0.454545,0.500000
2025-08-26_20-35-32,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,1,4,16,16,0.600000,0.500000
2025-08-26_21-31-10,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,6,2,14,20,0.500000,0.428571
2025-08-26_21-57-19,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,5,2,21,7,0.428571,0.500000
2025-08-26_22-26-46,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,6,1,10,6,0.714286,0.166667
2025-08-26_22-40-34,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,5,6,19,23,0.090909,0.700000
2025-08-26_23-14-47,Qwen3-14B,Qwen3-14B,sliced_zucchini_and_chickpea_stew,5,6,14,16,0.090909,0.500000
2025-08-26_15-45-56,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,7,4,15,13,0.272727,0.700000
2025-08-26_16-09-37,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,7,4,17,22,0.272727,0.700000
2025-08-26_16-52-13,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,4,7,8,13,0.272727,0.300000
2025-08-26_17-29-24,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,2,5,10,13,0.428571,0.333333
2025-08-26_17-45-40,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,5,3,14,12,0.250000,0.714286
2025-08-26_18-10-42,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,6,1,22,15,0.714286,0.166667
2025-08-26_19-02-11,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,1,1,1,3,0.000000,1.000000
2025-08-26_19-05-37,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,0,2,1,5,1.000000,0.000000
2025-08-26_19-12-55,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,7,4,14,20,0.272727,0.300000
2025-08-26_19-39-38,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_corn_stew,4,3,13,15,0.142857,0.333333
2025-08-26_20-14-05,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,2,2,4,5,0.000000,0.333333
2025-08-26_20-32-59,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,1,2,2,5,0.333333,1.000000
2025-08-26_20-52-17,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,8,3,22,14,0.454545,0.500000
2025-08-26_21-26-19,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,3,2,7,11,0.200000,0.500000
2025-08-26_21-44-08,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,1,4,6,12,0.600000,0.500000
2025-08-26_22-20-43,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,7,2,40,20,0.555556,0.250000
2025-08-26_23-38-49,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,1,4,8,12,0.600000,0.250000
2025-08-26_23-59-32,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,6,5,14,14,0.090909,0.600000
2025-08-27_00-27-45,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,8,3,18,7,0.454545,0.400000
2025-08-27_01-24-48,Qwen3-14B,Qwen3-14B,sliced_bell_pepper_and_lentil_stew,7,4,18,10,0.272727,0.700000
2025-08-26_15-45-57,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,0,1,0,3,1.000000,0.000000
2025-08-26_17-15-34,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,3,1,4,3,0.500000,0.333333
2025-08-26_17-32-53,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_17-34-58,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,4,1,8,87,0.600000,0.250000
2025-08-26_18-13-39,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,0,1,0,3,1.000000,0.000000
2025-08-26_19-38-53,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,1,1,69,5,0.000000,1.000000
2025-08-26_20-43-45,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,1,0,1,0,1.000000,0.000000
2025-08-26_20-46-36,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,8,2,23,9,0.600000,0.222222
2025-08-26_21-41-56,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,1,3,93,10,0.500000,0.666667
2025-08-26_21-49-24,Qwen3-14B,Qwen3-1.7B,sliced_eggplant_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_21-52-07,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,2,2,7,5,0.000000,1.000000
2025-08-26_22-30-28,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,2,1,21,81,0.333333,0.500000
2025-08-26_23-24-54,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_23-26-17,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_23-27-36,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,2,1,11,9,0.333333,0.500000
2025-08-27_00-31-54,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,4,1,30,11,0.600000,0.250000
2025-08-27_01-23-27,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-24-40,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-27-12,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-28-24,Qwen3-14B,Qwen3-1.7B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-30-12,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,1,1,2,3,0.000000,1.000000
2025-08-27_01-42-37,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-44-06,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,4,1,16,14,0.600000,0.250000
2025-08-27_02-44-15,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,6,1,16,7,0.714286,0.166667
2025-08-27_03-50-41,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,2,1,9,9,0.333333,0.500000
2025-08-27_04-07-14,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,2,2,14,5,0.000000,0.666667
2025-08-27_04-16-24,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,1,3,6,5,0.500000,0.333333
2025-08-27_04-25-21,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,1,1,1,1,0.000000,1.000000
2025-08-27_04-39-55,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,2,1,8,9,0.333333,0.500000
2025-08-27_04-57-35,Qwen3-14B,Qwen3-1.7B,sliced_zucchini_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_20-59-23,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,0,0,0,0,0.000000,0.000000
2025-08-26_21-00-42,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,1,1,3,3,0.000000,1.000000
2025-08-26_21-11-10,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,2,2,4,7,0.000000,1.000000
2025-08-26_22-18-41,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,0,0,0,0,0.000000,0.000000
2025-08-26_22-20-50,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,2,1,5,90,0.333333,0.500000
2025-08-26_23-01-46,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,1,0,1,0,1.000000,0.000000
2025-08-26_23-03-22,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,2,2,6,3,0.000000,1.000000
2025-08-27_00-17-14,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,1,1,2,3,0.000000,1.000000
2025-08-27_01-36-30,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-37-26,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_corn_stew,4,3,15,13,0.142857,0.500000
2025-08-27_02-20-09,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,0,0,0,0,0.000000,0.000000
2025-08-27_02-22-27,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,2,1,9,3,0.333333,0.500000
2025-08-27_03-09-38,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,0,1,0,1,1.000000,0.000000
2025-08-27_04-36-46,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,2,1,9,10,0.333333,0.500000
2025-08-27_05-03-55,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,0,1,0,1,1.000000,0.000000
2025-08-27_06-33-15,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,2,2,6,7,0.000000,1.000000
2025-08-27_07-32-40,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,1,2,2,5,0.333333,1.000000
2025-08-27_08-37-30,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,3,2,11,4,0.200000,0.750000
2025-08-27_09-48-17,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,2,1,14,9,0.333333,0.500000
2025-08-27_10-27-56,Qwen3-14B,Qwen3-1.7B,sliced_bell_pepper_and_lentil_stew,0,0,0,0,0.000000,0.000000
2025-08-26_21-53-10,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,8,1,28,11,0.777778,0.125000
2025-08-26_23-08-58,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,7,4,11,9,0.272727,0.700000
2025-08-26_23-24-48,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,6,1,9,8,0.714286,0.166667
2025-08-26_23-37-21,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,2,5,13,12,0.428571,0.666667
2025-08-26_23-58-02,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,5,6,11,21,0.090909,0.700000
2025-08-27_00-29-40,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,2,5,7,9,0.428571,0.500000
2025-08-27_01-19-09,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,8,1,10,9,0.777778,0.125000
2025-08-27_02-09-24,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,6,1,13,16,0.714286,0.166667
2025-08-27_02-21-08,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,1,1,1,2,0.000000,1.000000
2025-08-27_02-26-43,Qwen3-14B,Qwen3-32B,sliced_eggplant_and_chickpea_stew,1,6,7,11,0.714286,0.333333
2025-08-27_02-42-09,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,6,2,15,14,0.500000,0.285714
2025-08-27_03-30-44,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,3,2,13,9,0.200000,0.750000
2025-08-27_03-49-48,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,1,6,10,22,0.714286,0.333333
2025-08-27_04-29-53,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,1,1,1,3,0.000000,1.000000
2025-08-27_04-34-36,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,5,3,18,14,0.250000,0.285714
2025-08-27_05-03-30,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,4,4,19,19,0.000000,0.571429
2025-08-27_05-31-52,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,9,2,23,29,0.636364,0.300000
2025-08-27_06-15-23,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,6,3,18,8,0.333333,0.375000
2025-08-27_06-56-23,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,6,3,19,23,0.333333,0.375000
2025-08-27_07-28-48,Qwen3-14B,Qwen3-32B,sliced_pumpkin_and_chickpea_stew,4,1,5,6,0.600000,0.250000
2025-08-26_15-45-58,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,5,2,10,4,0.428571,0.500000
2025-08-26_16-06-05,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,4,3,10,13,0.142857,0.666667
2025-08-26_16-39-58,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,1,6,9,19,0.714286,0.333333
2025-08-26_16-59-45,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,1,0,1,0,1.000000,0.000000
2025-08-26_17-12-22,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,4,4,32,22,0.000000,0.714286
2025-08-26_18-13-25,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,5,2,12,5,0.428571,0.500000
2025-08-26_18-31-41,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,3,1,7,5,0.500000,0.333333
2025-08-26_18-47-28,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,7,4,21,14,0.272727,0.600000
2025-08-26_19-13-06,Qwen3-14B,Qwen3-32B,sliced_zucchini_and_chickpea_stew,2,4,4,6,0.333333,0.400000
2025-08-27_00-07-39,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,2,7,9,16,0.555556,0.500000
2025-08-27_00-43-20,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,5,1,7,7,0.666667,0.200000
2025-08-27_00-58-53,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,1,2,6,18,0.333333,1.000000
2025-08-27_01-16-22,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,5,2,14,8,0.428571,0.500000
2025-08-27_01-35-01,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,8,3,13,10,0.454545,0.300000
2025-08-27_02-11-38,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,5,2,10,4,0.428571,0.500000
2025-08-27_02-28-04,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,4,7,16,20,0.272727,0.500000
2025-08-27_02-57-48,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,5,6,13,16,0.090909,0.500000
2025-08-27_03-15-19,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,6,1,13,14,0.714286,0.166667
2025-08-27_03-39-47,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_corn_stew,6,1,19,12,0.714286,0.166667
2025-08-26_15-45-55,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,4,7,37,16,0.272727,0.400000
2025-08-26_16-39-51,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,3,4,10,8,0.142857,0.500000
2025-08-26_17-27-34,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,1,0,1,0,1.000000,0.000000
2025-08-26_17-48-32,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,2,5,7,17,0.428571,0.333333
2025-08-26_18-29-18,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,3,6,6,15,0.333333,0.625000
2025-08-26_18-53-15,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,1,3,4,5,0.500000,0.666667
2025-08-26_19-26-04,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,5,2,14,9,0.428571,0.500000
2025-08-26_20-14-07,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,5,3,11,7,0.250000,0.428571
2025-08-26_20-41-23,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,2,2,4,9,0.000000,1.000000
2025-08-26_21-12-05,Qwen3-14B,Qwen3-32B,sliced_bell_pepper_and_lentil_stew,6,3,22,14,0.333333,0.375000
2025-08-27_00-48-49,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,2,1,16,16,0.333333,0.500000
2025-08-27_01-38-54,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_01-39-57,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,3,5,8,86,0.250000,0.285714
2025-08-27_02-16-32,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,8,1,37,18,0.777778,0.125000
2025-08-27_03-04-38,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,1,1,1,2,0.000000,1.000000
2025-08-27_03-07-36,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,8,3,28,30,0.454545,0.500000
2025-08-27_03-32-54,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,2,4,13,47,0.333333,0.400000
2025-08-27_04-02-10,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,0,2,1,3,1.000000,0.000000
2025-08-27_04-05-06,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,8,3,14,9,0.454545,0.500000
2025-08-27_04-23-23,Qwen3-14B,Qwen3-8B,sliced_eggplant_and_chickpea_stew,5,2,16,4,0.428571,0.500000
2025-08-26_15-45-58,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,5,2,8,4,0.428571,0.500000
2025-08-26_15-54-35,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,6,2,30,12,0.500000,0.428571
2025-08-26_16-29-38,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,2,1,13,26,0.333333,0.500000
2025-08-26_16-57-37,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,1,1,8,14,0.000000,1.000000
2025-08-26_17-10-31,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,3,4,12,8,0.142857,0.500000
2025-08-26_17-23-08,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,6,1,17,20,0.714286,0.166667
2025-08-26_17-41-43,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,5,2,18,22,0.428571,0.500000
2025-08-26_18-06-04,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,5,1,16,55,0.666667,0.200000
2025-08-26_18-36-18,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,2,5,16,35,0.428571,0.333333
2025-08-26_18-58-40,Qwen3-14B,Qwen3-8B,sliced_pumpkin_and_chickpea_stew,2,1,7,27,0.333333,0.500000
2025-08-26_19-35-59,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,4,1,8,3,0.600000,0.250000
2025-08-26_19-43-27,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,4,3,10,8,0.142857,0.333333
2025-08-26_20-21-29,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,5,3,21,43,0.250000,0.428571
2025-08-26_21-08-09,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,6,2,19,14,0.500000,0.428571
2025-08-26_21-30-33,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,1,1,7,2,0.000000,1.000000
2025-08-26_21-39-57,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,2,3,5,9,0.200000,0.750000
2025-08-26_21-47-20,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,3,2,11,7,0.200000,0.750000
2025-08-26_22-03-40,Qwen3-14B,Qwen3-8B,sliced_zucchini_and_chickpea_stew,8,3,14,11,0.454545,0.500000
2025-08-26_15-45-58,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,4,5,15,46,0.111111,0.625000
2025-08-26_16-25-55,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,0,2,1,3,1.000000,0.000000
2025-08-26_16-29-25,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,9,2,17,7,0.636364,0.300000
2025-08-26_16-48-56,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,3,4,12,13,0.142857,0.500000
2025-08-26_17-07-29,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,1,3,2,6,0.500000,0.666667
2025-08-26_17-18-10,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,4,3,6,8,0.142857,0.333333
2025-08-26_17-30-25,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,0,2,1,3,1.000000,0.000000
2025-08-26_17-33-38,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,5,2,11,10,0.428571,0.500000
2025-08-26_17-47-01,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,5,4,18,65,0.111111,0.500000
2025-08-26_18-25-04,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_corn_stew,0,2,1,3,1.000000,0.000000
2025-08-26_18-30-05,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,6,3,30,68,0.333333,0.375000
2025-08-26_19-19-22,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,5,6,9,18,0.090909,0.500000
2025-08-26_19-48-43,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,4,5,23,18,0.111111,0.375000
2025-08-26_21-04-46,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,8,3,19,14,0.454545,0.600000
2025-08-26_21-37-37,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,3,7,13,20,0.400000,0.555556
2025-08-26_22-07-49,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,5,2,19,26,0.428571,0.166667
2025-08-26_23-10-37,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,1,6,9,24,0.714286,0.333333
2025-08-26_23-30-47,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,1,6,18,38,0.714286,0.333333
2025-08-27_00-06-43,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,4,5,12,23,0.111111,0.500000
2025-08-27_00-44-56,Qwen3-14B,Qwen3-8B,sliced_bell_pepper_and_lentil_stew,0,2,1,3,1.000000,0.000000
2025-08-27_01-18-51,Qwen3-1.7B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,0,3,53,11,1.000000,0.000000
2025-08-27_02-01-22,Qwen3-1.7B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,1,2,55,5,0.333333,0.500000
2025-08-27_03-05-38,Qwen3-1.7B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,1,1,1,3,0.000000,1.000000
2025-08-27_03-09-11,Qwen3-1.7B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-27_03-10-22,Qwen3-1.7B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,0,0,0,0,0.000000,0.000000
